name,team,avg,games,pa,ab,runs,hits,doubles,triples,hr,tb,rbi,bb,hbp,so,gdp,slg,obp,ops,year
전준우,롯데,0.312,138,559,493,80,154,21,3,17,232,77,52,7,65,12,0.471,0.381,0.852,2023
양의지,두산,0.305,129,510,439,56,134,23,0,17,208,68,57,11,56,20,0.474,0.396,0.87,2023
최형우,KIA,0.302,121,508,431,64,130,27,1,17,210,81,65,8,83,5,0.487,0.4,0.887,2023
박찬호,KIA,0.301,130,507,452,73,136,18,4,3,171,52,40,2,56,13,0.378,0.356,0.734,2023
문보경,LG,0.301,131,542,469,77,141,29,5,10,210,72,58,2,83,5,0.448,0.377,0.825,2023
노시환,한화,0.298,131,595,514,85,153,30,1,31,278,101,74,4,118,13,0.541,0.388,0.929,2023
최정,SSG,0.297,128,552,471,94,140,31,0,29,258,87,59,15,87,12,0.548,0.388,0.936,2023
김민혁,KT,0.297,113,448,397,68,118,20,3,3,153,41,36,3,48,4,0.385,0.356,0.741,2023
황재균,KT,0.295,109,457,407,62,120,26,2,6,168,49,45,1,64,15,0.413,0.366,0.779,2023
문성주,LG,0.294,136,534,449,77,132,21,4,2,167,57,67,8,34,10,0.372,0.392,0.764,2023
김현수,LG,0.293,133,556,488,53,143,22,2,6,187,88,58,1,53,10,0.383,0.364,0.747,2023
안치홍,롯데,0.292,121,494,425,57,124,20,1,8,170,63,49,10,53,14,0.4,0.374,0.774,2023
강민호,삼성,0.29,125,495,434,60,126,19,0,16,193,77,49,6,65,17,0.445,0.366,0.811,2023
알포드,KT,0.289,133,547,491,83,142,31,3,15,224,70,47,6,140,6,0.456,0.356,0.812,2023
장성우,KT,0.288,131,464,410,37,118,22,0,11,173,65,42,2,70,12,0.422,0.351,0.773,2023
정수빈,두산,0.287,137,583,498,75,143,14,11,2,185,33,64,7,63,2,0.371,0.375,0.746,2023
피렐라,삼성,0.285,139,605,557,66,159,28,1,16,237,80,42,4,69,20,0.425,0.339,0.764,2023
소크라테스,KIA,0.285,142,608,547,91,156,31,3,20,253,96,52,1,80,13,0.463,0.344,0.807,2023
박해민,LG,0.285,144,558,485,80,138,14,2,6,174,59,45,3,74,7,0.359,0.348,0.707,2023
박병호,KT,0.283,132,493,431,53,122,15,0,18,191,87,46,8,114,9,0.443,0.357,0.8,2023
마틴,NC,0.283,118,503,435,55,123,20,2,17,198,90,57,1,107,8,0.455,0.36,0.815,2023
양석환,두산,0.281,140,582,524,73,147,28,0,21,238,89,41,6,133,9,0.454,0.333,0.787,2023
김현준,삼성,0.275,109,479,433,62,119,10,6,3,150,46,30,5,84,5,0.346,0.327,0.673,2023
김상수,KT,0.271,129,512,443,58,120,19,1,3,150,56,55,3,68,9,0.339,0.353,0.692,2023
